,Bacteroides vulgatus ATCC 8482_0.4.pkl,Lactobacillus plantarum WCFS1_0.4.pkl
B. vulgatus_gapfilled_95,"{'EX_cpd00635_e': 0.9016601964504947, 'EX_cpd00023_e': 0.9016601964508456, 'EX_cpd00224_e': 0.9016601964508456, 'EX_cpd11595_e': 0.9016601964504947, 'EX_cpd01217_e': 0.9016601964508456, 'EX_cpd00027_e': 0.9016601964504947, 'EX_cpd01171_e': 0.9016601964504947, 'EX_cpd00154_e': 0.9016601964504947, 'EX_cpd08306_e': 0.9016601964504947, 'EX_cpd00164_e': 0.9016601964504947, 'EX_cpd00309_e': 0.9016601964504947, 'EX_cpd00280_e': 0.9016601964504947, 'EX_cpd00108_e': 0.9016601964504947, 'EX_cpd00159_e': 0.9016601964504947, 'EX_cpd00540_e': 0.9016601964504947, 'EX_cpd11597_e': 0.9016601964504947, 'EX_cpd08305_e': 0.9016601964504947, 'EX_cpd00396_e': 0.9016601964504947, 'EX_cpd00039_e': 0.9016601964504947, 'EX_cpd00011_e': 0.9016601964504947, 'EX_cpd00322_e': 0.9016601964504947, 'EX_cpd00111_e': 0.9016601964504947, 'EX_cpd00028_e': 0.9016601964504947, 'EX_cpd00066_e': 0.9016601964504947, 'EX_cpd01188_e': 0.9016601964504947, 'EX_cpd00357_e': 2.6966217948701154, 'EX_cpd00136_e': 0.9016601964504947, 'EX_cpd03847_e': 0.9016601964504947, 'EX_cpd01080_e': 0.9016601964504947, 'EX_cpd03422_e': 0.9016601964504947, 'EX_cpd00010_e': 0.9016601964504947, 'EX_cpd00264_e': 0.9016601964504947, 'EX_cpd11606_e': 0.9016601964504947, 'EX_cpd00069_e': 0.9016601964504947, 'EX_cpd00060_e': 0.9016601964504947, 'EX_cpd00305_e': 0.9016601964504947}",
B. vulgatus_gapfilled_96,"{'EX_cpd00635_e': 0.19700992143540041, 'EX_cpd00023_e': 0.19700992143569615, 'EX_cpd00224_e': 0.19700992143545792, 'EX_cpd11595_e': 0.19700992143540041, 'EX_cpd01217_e': 0.19700992143727708, 'EX_cpd00027_e': 0.19700992143540041, 'EX_cpd01171_e': 0.19700992143540041, 'EX_cpd00154_e': 0.19700992143540041, 'EX_cpd08306_e': 0.19700992143540041, 'EX_cpd00164_e': 0.19700992143540041, 'EX_cpd00309_e': 0.19700992143540041, 'EX_cpd00280_e': 0.19700992143540041, 'EX_cpd00108_e': 0.19700992143540041, 'EX_cpd00159_e': 0.19700992143532212, 'EX_cpd00540_e': 0.19700992143540041, 'EX_cpd11597_e': 0.19700992143540041, 'EX_cpd08305_e': 0.19700992143540041, 'EX_cpd00396_e': 0.19700992143540041, 'EX_cpd00039_e': 0.19700992143540041, 'EX_cpd00011_e': 0.19700992143540041, 'EX_cpd00322_e': 0.19700992143535292, 'EX_cpd00111_e': 0.19700992143540041, 'EX_cpd00028_e': 0.19700992143540041, 'EX_cpd00066_e': 0.19700992143540041, 'EX_cpd01188_e': 0.19700992143540041, 'EX_cpd00357_e': 0.19700992143242294, 'EX_cpd00136_e': 0.19700992143540041, 'EX_cpd03847_e': 0.19700992143540041, 'EX_cpd01080_e': 0.9016601964488491, 'EX_cpd03422_e': 0.19700992143540041, 'EX_cpd00010_e': 0.19700992143540041, 'EX_cpd00264_e': 0.19700992143535292, 'EX_cpd11606_e': 0.19700992143535292, 'EX_cpd00069_e': 0.19700992143540041, 'EX_cpd00060_e': 0.19700992143540041, 'EX_cpd00305_e': 0.19700992143535292}",
B. vulgatus_gapfilled_97,"{'EX_cpd00635_e': 0.9016601964515836, 'EX_cpd00023_e': 0.9016601964106938, 'EX_cpd00224_e': 0.9016601964278471, 'EX_cpd11595_e': 0.9016601964515836, 'EX_cpd01217_e': 0.9016601964037885, 'EX_cpd00027_e': 0.9016601964504948, 'EX_cpd01171_e': 0.9016601964504948, 'EX_cpd00154_e': 0.9016601964504948, 'EX_cpd08306_e': 0.9016601964504947, 'EX_cpd00164_e': 0.9016601964504947, 'EX_cpd00309_e': 0.9016601964504947, 'EX_cpd00280_e': 0.9016601964504947, 'EX_cpd00108_e': 0.9016601964504947, 'EX_cpd00159_e': 0.901660196450494, 'EX_cpd00540_e': 0.9016601964504947, 'EX_cpd11597_e': 0.9016601964504947, 'EX_cpd08305_e': 0.9016601964504947, 'EX_cpd00396_e': 0.9016601964504947, 'EX_cpd00039_e': 0.9016601964504947, 'EX_cpd00011_e': 0.9016601964504947, 'EX_cpd00322_e': 0.9016601964493681, 'EX_cpd00111_e': 0.9016601964504947, 'EX_cpd00028_e': 0.9016601964504947, 'EX_cpd00066_e': 0.9016601964504947, 'EX_cpd01188_e': 0.9016601964504947, 'EX_cpd00357_e': 1.0248960098605981, 'EX_cpd00136_e': 0.9016601964504947, 'EX_cpd03847_e': 0.9016601964504947, 'EX_cpd01080_e': 0.9016601964504947, 'EX_cpd03422_e': 0.9016601964504947, 'EX_cpd00010_e': 0.9016601964504947, 'EX_cpd00264_e': 0.9016601964504929, 'EX_cpd11606_e': 0.9016601964504929, 'EX_cpd00069_e': 0.9016601964504947, 'EX_cpd00060_e': 0.9016601964504947, 'EX_cpd00305_e': 0.9016601964504929}",
B. vulgatus_gapfilled_98,"{'EX_cpd00635_e': 0.3080063093759565, 'EX_cpd00023_e': 0.30800630932376455, 'EX_cpd00224_e': 0.30800630939860346, 'EX_cpd11595_e': 0.3080063093759565, 'EX_cpd01217_e': 0.3080063093955739, 'EX_cpd00027_e': 0.3080063093729353, 'EX_cpd01171_e': 0.30800630937615275, 'EX_cpd00154_e': 0.30800630937470097, 'EX_cpd08306_e': 0.30800630937615275, 'EX_cpd00164_e': 0.30800630937615275, 'EX_cpd00309_e': 0.3080063093739162, 'EX_cpd00280_e': 0.3080063093653628, 'EX_cpd00108_e': 0.3080063093653628, 'EX_cpd00159_e': 0.3080063093166057, 'EX_cpd00540_e': 0.3080063093653628, 'EX_cpd11597_e': 0.3080063093653628, 'EX_cpd08305_e': 0.3080063093653628, 'EX_cpd00396_e': 0.3080063093653628, 'EX_cpd00039_e': 0.3080063093653628, 'EX_cpd00011_e': 0.3080063093653628, 'EX_cpd00322_e': 0.30800630895016473, 'EX_cpd00111_e': 0.3080063093653628, 'EX_cpd00028_e': 0.3080063093692079, 'EX_cpd00066_e': 0.3080063093653628, 'EX_cpd01188_e': 0.3080063093653628, 'EX_cpd00357_e': 0.3080063091953566, 'EX_cpd00136_e': 0.3080063093653628, 'EX_cpd03847_e': 0.30800630936567663, 'EX_cpd01080_e': 2.696621794870849, 'EX_cpd03422_e': 0.3080063093653628, 'EX_cpd00010_e': 0.3080063093653628, 'EX_cpd00264_e': 0.30800630895016473, 'EX_cpd11606_e': 0.30800630895016473, 'EX_cpd00069_e': 0.3080063093653628, 'EX_cpd00060_e': 0.3080063093653628, 'EX_cpd00305_e': 0.30800630895016473}",
B. vulgatus_gapfilled_99,"{'EX_cpd00635_e': 0.6536739717390511, 'EX_cpd00023_e': 0.6536739717438249, 'EX_cpd00224_e': 0.6536739717441643, 'EX_cpd11595_e': 0.6536739717390511, 'EX_cpd01217_e': 0.6536739717441646, 'EX_cpd00027_e': 0.6536739717407711, 'EX_cpd01171_e': 0.6536739717390511, 'EX_cpd00154_e': 0.6536739717390511, 'EX_cpd08306_e': 0.6536739717390511, 'EX_cpd00164_e': 0.6536739717390511, 'EX_cpd00309_e': 0.65367397173957, 'EX_cpd00280_e': 0.6536739717398535, 'EX_cpd00108_e': 0.6536739717398535, 'EX_cpd00159_e': 0.6536739717441661, 'EX_cpd00540_e': 0.6536739717398535, 'EX_cpd11597_e': 0.6536739717398535, 'EX_cpd08305_e': 0.6536739717398535, 'EX_cpd00396_e': 0.6536739717398535, 'EX_cpd00039_e': 0.6536739717398535, 'EX_cpd00011_e': 0.6536739717398535, 'EX_cpd00322_e': 0.9016601964505422, 'EX_cpd00111_e': 0.6536739717398535, 'EX_cpd00028_e': 0.6536739717398535, 'EX_cpd00066_e': 0.6536739717398535, 'EX_cpd01188_e': 0.6536739717398535, 'EX_cpd00357_e': 0.6536739717402804, 'EX_cpd00136_e': 0.6536739717398535, 'EX_cpd03847_e': 0.6536739717398535, 'EX_cpd01080_e': 0.6536739717398727, 'EX_cpd03422_e': 0.6536739717398535, 'EX_cpd00010_e': 0.6536739717398535, 'EX_cpd00264_e': 0.6536739717424053, 'EX_cpd11606_e': 0.6536739717424053, 'EX_cpd00069_e': 0.6536739717398535, 'EX_cpd00060_e': 0.6536739717408769, 'EX_cpd00305_e': 0.6536739717424053}",
L. plantarum_gapfilled_0,,"{'EX_cpd00023_e': 0.19998278926598148, 'EX_cpd00224_e': 0.19998278926454646, 'EX_cpd00027_e': 0.19998278926458038, 'EX_cpd01171_e': 0.19998278926454638, 'EX_cpd00154_e': 0.19998278926454638, 'EX_cpd08306_e': 0.19998278926454638, 'EX_cpd00309_e': 0.19998278926454638, 'EX_cpd00108_e': 0.19998278926454638, 'EX_cpd00159_e': 0.1999827892645465, 'EX_cpd00540_e': 0.19998278926454638, 'EX_cpd11597_e': 0.19998278926454638, 'EX_cpd08305_e': 0.19998278926454638, 'EX_cpd00039_e': 0.19998278926454638, 'EX_cpd00011_e': 0.19998278926454638, 'EX_cpd00322_e': 0.19998278926454638, 'EX_cpd00111_e': 0.1999827892610695, 'EX_cpd00028_e': 0.19998278926454638, 'EX_cpd00066_e': 0.19998278926454638, 'EX_cpd01188_e': 0.19998278926454638, 'EX_cpd01080_e': 0.19998278926454638, 'EX_cpd00010_e': 0.19998278926454638, 'EX_cpd00264_e': 0.19998278926454638, 'EX_cpd11606_e': 0.19998278926454638, 'EX_cpd00069_e': 0.19998278926454638, 'EX_cpd00060_e': 0.19998278926454638, 'EX_cpd00305_e': 0.19998278926454638, 'EX_cpd00080_e': 0.19998278926454846}"
L. plantarum_gapfilled_1,,"{'EX_cpd00023_e': 0.03878256050767278, 'EX_cpd00224_e': 0.03878256050724805, 'EX_cpd00027_e': 0.03878256050726251, 'EX_cpd01171_e': 0.03878256050724805, 'EX_cpd00154_e': 0.03878256050724805, 'EX_cpd08306_e': 0.03878256050724805, 'EX_cpd00309_e': 0.03878256050724805, 'EX_cpd00108_e': 0.03878256050724805, 'EX_cpd00159_e': 0.03878256050724805, 'EX_cpd00540_e': 0.03878256050724805, 'EX_cpd11597_e': 0.03878256050724805, 'EX_cpd08305_e': 0.03878256050724805, 'EX_cpd00039_e': 0.03878256050724805, 'EX_cpd00011_e': 0.03878256050724805, 'EX_cpd00322_e': 0.03878256050724805, 'EX_cpd00111_e': 0.03878256050724805, 'EX_cpd00028_e': 0.03878256050724805, 'EX_cpd00066_e': 0.03878256050724805, 'EX_cpd01188_e': 0.03878256050724805, 'EX_cpd01080_e': 0.03878256050724805, 'EX_cpd00010_e': 0.03878256050724805, 'EX_cpd00264_e': 0.03878256050739083, 'EX_cpd11606_e': 0.03878256050724805, 'EX_cpd00069_e': 0.03878256050724805, 'EX_cpd00060_e': 0.03878256050724805, 'EX_cpd00305_e': 0.03878256050724805, 'EX_cpd00080_e': 0.03878256050724805}"
L. plantarum_gapfilled_2,,"{'EX_cpd00023_e': 0.07371547260875796, 'EX_cpd00224_e': 0.07371547260488752, 'EX_cpd00027_e': 0.07371547261141685, 'EX_cpd01171_e': 0.07371547261135261, 'EX_cpd00154_e': 0.07371547261135261, 'EX_cpd08306_e': 0.07371547261135261, 'EX_cpd00309_e': 0.073715472610817, 'EX_cpd00108_e': 0.07371547261135455, 'EX_cpd00159_e': 0.07371547261135258, 'EX_cpd00540_e': 0.07371547261135265, 'EX_cpd11597_e': 0.0737154726113526, 'EX_cpd08305_e': 0.0737154726113526, 'EX_cpd00039_e': 0.0737154726113526, 'EX_cpd00011_e': 0.0737154726113526, 'EX_cpd00322_e': 0.07371547261135257, 'EX_cpd00111_e': 0.07371547261135274, 'EX_cpd00028_e': 0.0737154726113526, 'EX_cpd00066_e': 0.0737154726113526, 'EX_cpd01188_e': 0.0737154726113526, 'EX_cpd01080_e': 0.07371547261135257, 'EX_cpd00010_e': 0.0737154726113526, 'EX_cpd00264_e': 0.07371547261135257, 'EX_cpd11606_e': 0.07371547261135257, 'EX_cpd00069_e': 0.0737154726113526, 'EX_cpd00060_e': 0.0737154726113526, 'EX_cpd00305_e': 0.07371547261135257, 'EX_cpd00080_e': 0.07371547261135607}"
L. plantarum_gapfilled_3,,"{'EX_cpd00023_e': 0.19991817593608407, 'EX_cpd00224_e': 0.19991817593632363, 'EX_cpd00027_e': 0.19991817593607303, 'EX_cpd01171_e': 0.19991817593625766, 'EX_cpd00154_e': 0.19991817593625766, 'EX_cpd08306_e': 0.19991817593625766, 'EX_cpd00309_e': 0.19991817593625766, 'EX_cpd00108_e': 0.19991817593625766, 'EX_cpd00159_e': 0.19991817593632363, 'EX_cpd00540_e': 0.19991817593625766, 'EX_cpd11597_e': 0.19991817593625766, 'EX_cpd08305_e': 0.19991817593625766, 'EX_cpd00039_e': 0.19991817593625766, 'EX_cpd00011_e': 0.19991817593625766, 'EX_cpd00322_e': 0.19991817593625766, 'EX_cpd00111_e': 0.19991817593625766, 'EX_cpd00028_e': 0.19991817593625766, 'EX_cpd00066_e': 0.19991817593625766, 'EX_cpd01188_e': 0.19991817593625766, 'EX_cpd01080_e': 0.19991817593625766, 'EX_cpd00010_e': 0.19991817593625766, 'EX_cpd00264_e': 0.19991817593625766, 'EX_cpd11606_e': 0.19991817593625766, 'EX_cpd00069_e': 0.19991817593625766, 'EX_cpd00060_e': 0.19991817593625766, 'EX_cpd00305_e': 0.19991817593625766, 'EX_cpd00080_e': 0.19991817593655062}"
L. plantarum_gapfilled_4,,"{'EX_cpd00023_e': 0.04828580919010913, 'EX_cpd00224_e': 0.04828580919008901, 'EX_cpd00027_e': 0.04828580919138693, 'EX_cpd01171_e': 0.04828580919009864, 'EX_cpd00154_e': 0.04828580919009864, 'EX_cpd08306_e': 0.04828580919009864, 'EX_cpd00309_e': 0.04828580919009864, 'EX_cpd00108_e': 0.04828580919009864, 'EX_cpd00159_e': 0.048285809190119176, 'EX_cpd00540_e': 0.04828580919009864, 'EX_cpd11597_e': 0.04828580919009864, 'EX_cpd08305_e': 0.04828580919009864, 'EX_cpd00039_e': 0.04828580919009864, 'EX_cpd00011_e': 0.04828580919009864, 'EX_cpd00322_e': 0.04828580919009864, 'EX_cpd00111_e': 0.04828580919009864, 'EX_cpd00028_e': 0.04828580919009864, 'EX_cpd00066_e': 0.04828580919009864, 'EX_cpd01188_e': 0.04828580919009864, 'EX_cpd01080_e': 0.04828580919009864, 'EX_cpd00010_e': 0.04828580919009864, 'EX_cpd00264_e': 0.04828580919009864, 'EX_cpd11606_e': 0.04828580919009864, 'EX_cpd00069_e': 0.04828580919009864, 'EX_cpd00060_e': 0.04828580919009864, 'EX_cpd00305_e': 0.04828580919009864, 'EX_cpd00080_e': 0.04828580919004831}"
L. plantarum_gapfilled_5,,"{'EX_cpd00023_e': 0.05003312927374102, 'EX_cpd00224_e': 0.05003312927374102, 'EX_cpd00027_e': 0.05003312927603964, 'EX_cpd01171_e': 0.05003312927603964, 'EX_cpd00154_e': 0.05003312927603964, 'EX_cpd08306_e': 0.05003312927603964, 'EX_cpd00309_e': 0.05003312927603964, 'EX_cpd00108_e': 0.05003312927599906, 'EX_cpd00159_e': 0.05003312952384292, 'EX_cpd00540_e': 0.05003312927599906, 'EX_cpd11597_e': 0.05003312927599906, 'EX_cpd08305_e': 0.05003312927599906, 'EX_cpd00039_e': 0.05003312927599906, 'EX_cpd00011_e': 0.05003312927599906, 'EX_cpd00322_e': 0.05003312927599906, 'EX_cpd00111_e': 0.05003312927599906, 'EX_cpd00028_e': 0.05003312927599906, 'EX_cpd00066_e': 0.05003312927579752, 'EX_cpd01188_e': 0.05003312927599906, 'EX_cpd01080_e': 0.05003312927599906, 'EX_cpd00010_e': 0.05003312927599906, 'EX_cpd00264_e': 0.05003312927599906, 'EX_cpd11606_e': 0.05003312927599906, 'EX_cpd00069_e': 0.05003312927599906, 'EX_cpd00060_e': 0.05003312927599906, 'EX_cpd00305_e': 0.05003312927599906, 'EX_cpd00080_e': 0.05003312927603964}"
L. plantarum_gapfilled_6,,"{'EX_cpd00023_e': 0.07996022678951004, 'EX_cpd00224_e': 0.07996022678936264, 'EX_cpd00027_e': 0.07996022678952211, 'EX_cpd01171_e': 0.07996022678949202, 'EX_cpd00154_e': 0.07996022678949202, 'EX_cpd08306_e': 0.07996022678949202, 'EX_cpd00309_e': 0.07996022678949202, 'EX_cpd00108_e': 0.07996022678949202, 'EX_cpd00159_e': 0.07996022678942673, 'EX_cpd00540_e': 0.07996022678949202, 'EX_cpd11597_e': 0.07996022678949202, 'EX_cpd08305_e': 0.07996022678949202, 'EX_cpd00039_e': 0.07996022678949202, 'EX_cpd00011_e': 0.07996022678949202, 'EX_cpd00322_e': 0.07996022678949202, 'EX_cpd00111_e': 0.07996022678949202, 'EX_cpd00028_e': 0.07996022678949202, 'EX_cpd00066_e': 0.07996022678949202, 'EX_cpd01188_e': 0.07996022678949202, 'EX_cpd01080_e': 0.07996022678949202, 'EX_cpd00010_e': 0.07996022678949202, 'EX_cpd00264_e': 0.07996022678949202, 'EX_cpd11606_e': 0.07996022678949202, 'EX_cpd00069_e': 0.07996022678949202, 'EX_cpd00060_e': 0.07996022678949202, 'EX_cpd00305_e': 0.07996022678949202, 'EX_cpd00080_e': 0.07996022678946568}"
L. plantarum_gapfilled_7,,"{'EX_cpd00023_e': 0.19917248537122909, 'EX_cpd00224_e': 0.19917248537250762, 'EX_cpd00027_e': 0.19917248536708226, 'EX_cpd01171_e': 0.19917248536708226, 'EX_cpd00154_e': 0.19917248536708226, 'EX_cpd08306_e': 0.19917248536708226, 'EX_cpd00309_e': 0.19917248536708226, 'EX_cpd00108_e': 0.19917248536708226, 'EX_cpd00159_e': 0.19917248537206636, 'EX_cpd00540_e': 0.19917248536708226, 'EX_cpd11597_e': 0.19917248536708226, 'EX_cpd08305_e': 0.19917248536708226, 'EX_cpd00039_e': 0.19917248536708226, 'EX_cpd00011_e': 0.19917248536708226, 'EX_cpd00322_e': 0.19917248536708226, 'EX_cpd00111_e': 0.19917248536708226, 'EX_cpd00028_e': 0.19917248536708226, 'EX_cpd00066_e': 0.19917248536708226, 'EX_cpd01188_e': 0.19917248536708226, 'EX_cpd01080_e': 0.19917248536708226, 'EX_cpd00010_e': 0.19917248536708226, 'EX_cpd00264_e': 0.19917248536708226, 'EX_cpd11606_e': 0.19917248536708226, 'EX_cpd00069_e': 0.19917248536708226, 'EX_cpd00060_e': 0.19917248536708226, 'EX_cpd00305_e': 0.19917248536708226, 'EX_cpd00080_e': 0.19917248536708226}"
L. plantarum_gapfilled_8,,"{'EX_cpd00023_e': 0.05003312927579753, 'EX_cpd00224_e': 0.050033129291914634, 'EX_cpd00027_e': 0.05003312927617615, 'EX_cpd01171_e': 0.05003312927617615, 'EX_cpd00154_e': 0.05003312927617615, 'EX_cpd08306_e': 0.05003312927617615, 'EX_cpd00309_e': 0.05003312927617615, 'EX_cpd00108_e': 0.05003312927617615, 'EX_cpd00159_e': 0.050033129272780384, 'EX_cpd00540_e': 0.05003312927617615, 'EX_cpd11597_e': 0.05003312927617615, 'EX_cpd08305_e': 0.05003312927617615, 'EX_cpd00039_e': 0.05003312927617615, 'EX_cpd00011_e': 0.05003312927617615, 'EX_cpd00322_e': 0.05003312927617615, 'EX_cpd00111_e': 0.05003312927617615, 'EX_cpd00028_e': 0.05003312927617615, 'EX_cpd00066_e': 0.05003312927617615, 'EX_cpd01188_e': 0.05003312927617615, 'EX_cpd01080_e': 0.05003312927617615, 'EX_cpd00010_e': 0.05003312927617615, 'EX_cpd00264_e': 0.05003312927617615, 'EX_cpd11606_e': 0.05003312927617615, 'EX_cpd00069_e': 0.05003312927617615, 'EX_cpd00060_e': 0.05003312927617615, 'EX_cpd00305_e': 0.05003312927617615, 'EX_cpd00080_e': 0.05003312927617615}"
L. plantarum_gapfilled_9,,"{'EX_cpd00023_e': 0.07709060708896642, 'EX_cpd00224_e': 0.07709060708383254, 'EX_cpd00027_e': 0.07709060708962286, 'EX_cpd01171_e': 0.0770906070860357, 'EX_cpd00154_e': 0.0770906070860357, 'EX_cpd08306_e': 0.0770906070860357, 'EX_cpd00309_e': 0.0770906070860357, 'EX_cpd00108_e': 0.0770906070860357, 'EX_cpd00159_e': 0.07709060708603581, 'EX_cpd00540_e': 0.0770906070860357, 'EX_cpd11597_e': 0.0770906070860357, 'EX_cpd08305_e': 0.0770906070860357, 'EX_cpd00039_e': 0.0770906070860357, 'EX_cpd00011_e': 0.0770906070860357, 'EX_cpd00322_e': 0.0770906070860357, 'EX_cpd00111_e': 0.0770906070860357, 'EX_cpd00028_e': 0.0770906070860357, 'EX_cpd00066_e': 0.0770906070860357, 'EX_cpd01188_e': 0.0770906070860357, 'EX_cpd01080_e': 0.0770906070860357, 'EX_cpd00010_e': 0.0770906070860357, 'EX_cpd00264_e': 0.0770906070860357, 'EX_cpd11606_e': 0.0770906070860357, 'EX_cpd00069_e': 0.0770906070860357, 'EX_cpd00060_e': 0.0770906070860357, 'EX_cpd00305_e': 0.0770906070860357, 'EX_cpd00080_e': 0.07709060708593166}"
L. plantarum_gapfilled_10,,"{'EX_cpd00023_e': 0.06735978982036099, 'EX_cpd00224_e': 0.06735978982324364, 'EX_cpd00027_e': 0.06735978981742016, 'EX_cpd01171_e': 0.06735978981753671, 'EX_cpd00154_e': 0.06735978981753671, 'EX_cpd08306_e': 0.06735978981753671, 'EX_cpd00309_e': 0.06735978981738686, 'EX_cpd00108_e': 0.06735978981753671, 'EX_cpd00159_e': 0.06735978981824661, 'EX_cpd00540_e': 0.06735978981905362, 'EX_cpd11597_e': 0.06735978981753671, 'EX_cpd08305_e': 0.06735978981753671, 'EX_cpd00039_e': 0.07265330643716524, 'EX_cpd00011_e': 0.06735978981802222, 'EX_cpd00322_e': 0.06735978981805818, 'EX_cpd00111_e': 0.06735978981802222, 'EX_cpd00028_e': 0.06735978981802222, 'EX_cpd00066_e': 0.06735978981802222, 'EX_cpd01188_e': 0.06735978981802222, 'EX_cpd01080_e': 0.06735978981802222, 'EX_cpd00010_e': 0.06735978981802222, 'EX_cpd00264_e': 0.06735978981802222, 'EX_cpd11606_e': 0.06735978981802222, 'EX_cpd00069_e': 0.06735978981802222, 'EX_cpd00060_e': 0.06735978981802222, 'EX_cpd00305_e': 0.06735978981802222, 'EX_cpd00080_e': 0.06735978981753671}"
L. plantarum_gapfilled_11,,"{'EX_cpd00023_e': 0.19999287617028097, 'EX_cpd00224_e': 0.19999287594403262, 'EX_cpd00027_e': 0.1999928761773997, 'EX_cpd01171_e': 0.1999928761773997, 'EX_cpd00154_e': 0.1999928761773997, 'EX_cpd08306_e': 0.1999928761773997, 'EX_cpd00309_e': 0.199992876177269, 'EX_cpd00108_e': 0.1999928761773997, 'EX_cpd00159_e': 0.19999287616785666, 'EX_cpd00540_e': 0.1999928761773997, 'EX_cpd11597_e': 0.1999928761773997, 'EX_cpd08305_e': 0.1999928761773997, 'EX_cpd00039_e': 0.1999928761773997, 'EX_cpd00011_e': 0.1999928761773997, 'EX_cpd00322_e': 0.19999287617748282, 'EX_cpd00111_e': 0.19999287617724051, 'EX_cpd00028_e': 0.1999928761773997, 'EX_cpd00066_e': 0.1999928761773997, 'EX_cpd01188_e': 0.1999928761773997, 'EX_cpd01080_e': 0.19999287617748282, 'EX_cpd00010_e': 0.1999928761773997, 'EX_cpd00264_e': 0.19999287617748282, 'EX_cpd11606_e': 0.19999287617748282, 'EX_cpd00069_e': 0.1999928761773997, 'EX_cpd00060_e': 0.1999928761773997, 'EX_cpd00305_e': 0.19999287617748282, 'EX_cpd00080_e': 0.1999928761773997}"
L. plantarum_gapfilled_12,,"{'EX_cpd00023_e': 0.07996848340173673, 'EX_cpd00224_e': 0.07996848341595125, 'EX_cpd00027_e': 0.07996848340838991, 'EX_cpd01171_e': 0.07996848340838991, 'EX_cpd00154_e': 0.07996848340838991, 'EX_cpd08306_e': 0.07996848340838991, 'EX_cpd00309_e': 0.07996848340838991, 'EX_cpd00108_e': 0.07996848340838991, 'EX_cpd00159_e': 0.07996848340675436, 'EX_cpd00540_e': 0.0799684834084868, 'EX_cpd11597_e': 0.07996848340855123, 'EX_cpd08305_e': 0.07996848340855123, 'EX_cpd00039_e': 0.07996848340855123, 'EX_cpd00011_e': 0.07996848340855123, 'EX_cpd00322_e': 0.07996848340855123, 'EX_cpd00111_e': 0.07996848340855123, 'EX_cpd00028_e': 0.07996848340855123, 'EX_cpd00066_e': 0.07996848340855123, 'EX_cpd01188_e': 0.07996848340855123, 'EX_cpd01080_e': 0.07996848340855123, 'EX_cpd00010_e': 0.07996848340855123, 'EX_cpd00264_e': 0.07996848340855123, 'EX_cpd11606_e': 0.07996848340855123, 'EX_cpd00069_e': 0.07996848340855123, 'EX_cpd00060_e': 0.07996848340855123, 'EX_cpd00305_e': 0.07996848340800329, 'EX_cpd00080_e': 0.07996848340838991}"
L. plantarum_gapfilled_13,,"{'EX_cpd00023_e': 0.048285809157480354, 'EX_cpd00224_e': 0.04828580916772343, 'EX_cpd00027_e': 0.04828580919035921, 'EX_cpd01171_e': 0.04828580919035921, 'EX_cpd00154_e': 0.04828580919035921, 'EX_cpd08306_e': 0.04828580919035921, 'EX_cpd00309_e': 0.04828580919035921, 'EX_cpd00108_e': 0.04828580919035921, 'EX_cpd00159_e': 0.04828580916752379, 'EX_cpd00540_e': 0.04828580919035921, 'EX_cpd11597_e': 0.04828580919035921, 'EX_cpd08305_e': 0.04828580919035921, 'EX_cpd00039_e': 0.04828580919035921, 'EX_cpd00011_e': 0.04828580919035921, 'EX_cpd00322_e': 0.04828580919035921, 'EX_cpd00111_e': 0.04828580919035921, 'EX_cpd00028_e': 0.04828580919035921, 'EX_cpd00066_e': 0.04828580919035921, 'EX_cpd01188_e': 0.04828580919035921, 'EX_cpd01080_e': 0.04828580919035921, 'EX_cpd00010_e': 0.04828580919035921, 'EX_cpd00264_e': 0.04828580919035921, 'EX_cpd11606_e': 0.04828580919035921, 'EX_cpd00069_e': 0.04828580919035921, 'EX_cpd00060_e': 0.04828580919035921, 'EX_cpd00305_e': 0.04828580919035921, 'EX_cpd00080_e': 0.04828580919011329}"
L. plantarum_gapfilled_14,,"{'EX_cpd00023_e': 0.19917248537375895, 'EX_cpd00224_e': 0.19917248537412133, 'EX_cpd00027_e': 0.1991724853741995, 'EX_cpd01171_e': 0.19917248537402893, 'EX_cpd00154_e': 0.19917248537402893, 'EX_cpd08306_e': 0.19917248537402893, 'EX_cpd00309_e': 0.19917248537402893, 'EX_cpd00108_e': 0.19917248537402893, 'EX_cpd00159_e': 0.1991724853744979, 'EX_cpd00540_e': 0.19917248537402893, 'EX_cpd11597_e': 0.19917248537402893, 'EX_cpd08305_e': 0.19917248537402893, 'EX_cpd00039_e': 0.19917248537402893, 'EX_cpd00011_e': 0.19917248537402893, 'EX_cpd00322_e': 0.19917248537402893, 'EX_cpd00111_e': 0.19917248537402893, 'EX_cpd00028_e': 0.19917248537402893, 'EX_cpd00066_e': 0.19917248537402893, 'EX_cpd01188_e': 0.19917248537402893, 'EX_cpd01080_e': 0.19917248537402893, 'EX_cpd00010_e': 0.19917248537402893, 'EX_cpd00264_e': 0.19917248537402893, 'EX_cpd11606_e': 0.19917248537402893, 'EX_cpd00069_e': 0.19917248537402893, 'EX_cpd00060_e': 0.19917248537402893, 'EX_cpd00305_e': 0.19917248537402893, 'EX_cpd00080_e': 0.19917248537402893}"
