,Bacteroides vulgatus ATCC 8482_0.4.pkl
B. vulgatus_gapfilled_32,"{'EX_cpd00635_e': 0.42341006703304884, 'EX_cpd00023_e': 0.42341006703204376, 'EX_cpd00224_e': 0.4234100670320501, 'EX_cpd11595_e': 0.42341006703304884, 'EX_cpd01217_e': 0.42341006703206324, 'EX_cpd00027_e': 0.4234100670329185, 'EX_cpd01171_e': 0.4234100670339611, 'EX_cpd00154_e': 0.4234100670327882, 'EX_cpd08306_e': 0.4234100670339611, 'EX_cpd00164_e': 0.4234100670339611, 'EX_cpd00309_e': 0.4234100670339611, 'EX_cpd00280_e': 0.4234100670339611, 'EX_cpd00108_e': 0.4234100670339611, 'EX_cpd00159_e': 0.42341006703203476, 'EX_cpd00540_e': 0.4234100670339611, 'EX_cpd11597_e': 0.4234100670339611, 'EX_cpd08305_e': 0.4234100670339611, 'EX_cpd00396_e': 0.4234100670339611, 'EX_cpd00039_e': 0.4234100670339611, 'EX_cpd00011_e': 0.4234100670339611, 'EX_cpd00322_e': 0.9016601964506168, 'EX_cpd00111_e': 0.4234100670334398, 'EX_cpd00028_e': 0.4234100670339611, 'EX_cpd00066_e': 0.4234100670339611, 'EX_cpd01188_e': 0.4234100670339611, 'EX_cpd00357_e': 0.4234100670253482, 'EX_cpd00136_e': 0.4234100670339611, 'EX_cpd03847_e': 0.4234100670339611, 'EX_cpd01080_e': 0.4234100670339611, 'EX_cpd03422_e': 0.4234100670339611, 'EX_cpd00010_e': 0.4234100670339611, 'EX_cpd00264_e': 0.4234100670326507, 'EX_cpd11606_e': 0.4234100670326507, 'EX_cpd00069_e': 0.4234100670339611, 'EX_cpd00060_e': 0.4234100670339611, 'EX_cpd00305_e': 0.4234100670326507}"
B. vulgatus_gapfilled_33,"{'EX_cpd00635_e': 0.9016601964504344, 'EX_cpd00023_e': 0.9016601964519164, 'EX_cpd00224_e': 0.9016601964504947, 'EX_cpd11595_e': 0.9016601964504344, 'EX_cpd01217_e': 0.901660196572149, 'EX_cpd00027_e': 0.9016601964501241, 'EX_cpd01171_e': 0.9016601964504344, 'EX_cpd00154_e': 0.9016601964505536, 'EX_cpd08306_e': 0.9016601964504344, 'EX_cpd00164_e': 0.9016601964504344, 'EX_cpd00309_e': 0.9016601964516647, 'EX_cpd00280_e': 0.9016601964506173, 'EX_cpd00108_e': 0.9016601964506173, 'EX_cpd00159_e': 0.9016601964505806, 'EX_cpd00540_e': 0.9016601964506173, 'EX_cpd11597_e': 0.9016601964506173, 'EX_cpd08305_e': 0.9016601964506173, 'EX_cpd00396_e': 0.9016601964505147, 'EX_cpd00039_e': 0.9016601964494035, 'EX_cpd00011_e': 0.9016601964494035, 'EX_cpd00322_e': 0.9016601964494035, 'EX_cpd00111_e': 0.9016601964494035, 'EX_cpd00028_e': 0.9016601964494035, 'EX_cpd00066_e': 0.9016601964494035, 'EX_cpd01188_e': 0.9016601964494035, 'EX_cpd00357_e': 1.1883133482456318, 'EX_cpd00136_e': 0.9016601964494035, 'EX_cpd03847_e': 0.9016601964494035, 'EX_cpd01080_e': 0.9016601964494035, 'EX_cpd03422_e': 0.9016601964494035, 'EX_cpd00010_e': 0.9016601964494035, 'EX_cpd00264_e': 0.9016601964494035, 'EX_cpd11606_e': 0.9016601964494035, 'EX_cpd00069_e': 0.9016601964494035, 'EX_cpd00060_e': 0.9016601964494035, 'EX_cpd00305_e': 0.9016601964494035}"
B. vulgatus_gapfilled_34,"{'EX_cpd00635_e': 0.9016601964504947, 'EX_cpd00023_e': 0.9016601964504948, 'EX_cpd00224_e': 0.9016601964504948, 'EX_cpd11595_e': 0.9016601964504947, 'EX_cpd01217_e': 0.9016601964497649, 'EX_cpd00027_e': 0.9016601964504947, 'EX_cpd01171_e': 0.9016601964504947, 'EX_cpd00154_e': 0.9016601964504947, 'EX_cpd08306_e': 0.9016601964504947, 'EX_cpd00164_e': 0.9016601964504947, 'EX_cpd00309_e': 0.9016601964504947, 'EX_cpd00280_e': 0.9016601964504947, 'EX_cpd00108_e': 0.9016601964504947, 'EX_cpd00159_e': 0.9016601964497589, 'EX_cpd00540_e': 0.9016601964504947, 'EX_cpd11597_e': 0.9016601964504947, 'EX_cpd08305_e': 0.9016601964504947, 'EX_cpd00396_e': 0.9016601964504947, 'EX_cpd00039_e': 0.9016601964504947, 'EX_cpd00011_e': 0.9016601964504947, 'EX_cpd00322_e': 0.9016601964504947, 'EX_cpd00111_e': 0.9016601964504947, 'EX_cpd00028_e': 0.9016601964504947, 'EX_cpd00066_e': 0.9016601964504947, 'EX_cpd01188_e': 0.9016601964504947, 'EX_cpd00357_e': 1.0248960098641247, 'EX_cpd00136_e': 0.9016601964504947, 'EX_cpd03847_e': 0.9016601964504947, 'EX_cpd01080_e': 0.9016601964504947, 'EX_cpd03422_e': 0.9016601964504947, 'EX_cpd00010_e': 0.9016601964504947, 'EX_cpd00264_e': 0.9016601964504947, 'EX_cpd11606_e': 0.9016601964504947, 'EX_cpd00069_e': 0.9016601964504947, 'EX_cpd00060_e': 0.9016601964504947, 'EX_cpd00305_e': 0.9016601964504947}"
B. vulgatus_gapfilled_35,"{'EX_cpd00635_e': 2.696621794871859, 'EX_cpd00023_e': 2.696621794849794, 'EX_cpd00224_e': 2.696621794849794, 'EX_cpd11595_e': 2.696621794871859, 'EX_cpd01217_e': 2.696621794849794, 'EX_cpd00027_e': 2.696621794871518, 'EX_cpd01171_e': 2.6966217948716884, 'EX_cpd00154_e': 2.6966217948716884, 'EX_cpd08306_e': 2.6966217948716884, 'EX_cpd00164_e': 2.6966217948716884, 'EX_cpd00309_e': 2.6966217948716884, 'EX_cpd00280_e': 2.696621794871456, 'EX_cpd00108_e': 2.696621794871828, 'EX_cpd00159_e': 2.6966217948717928, 'EX_cpd00540_e': 2.696621794871828, 'EX_cpd11597_e': 2.696621794871828, 'EX_cpd08305_e': 2.696621794871828, 'EX_cpd00396_e': 2.696621794871828, 'EX_cpd00039_e': 2.696621794871828, 'EX_cpd00011_e': 2.696621794871828, 'EX_cpd00322_e': 2.696621794871689, 'EX_cpd00111_e': 2.696621794876181, 'EX_cpd00028_e': 2.696621794871689, 'EX_cpd00066_e': 2.696621794871689, 'EX_cpd01188_e': 2.696621794871828, 'EX_cpd00357_e': 2.6966217948716893, 'EX_cpd00136_e': 2.696621794871689, 'EX_cpd03847_e': 2.696621794871689, 'EX_cpd01080_e': 2.696621794871689, 'EX_cpd03422_e': 2.696621794871689, 'EX_cpd00010_e': 2.696621794871689, 'EX_cpd00264_e': 2.6966217948699835, 'EX_cpd11606_e': 2.696621794871689, 'EX_cpd00069_e': 2.696621794871689, 'EX_cpd00060_e': 2.696621794871689, 'EX_cpd00305_e': 2.696621794871689}"
B. vulgatus_gapfilled_36,"{'EX_cpd00635_e': 0.9016601964504065, 'EX_cpd00023_e': 0.9016601964144043, 'EX_cpd00224_e': 0.9016601963540696, 'EX_cpd11595_e': 0.9016601964504065, 'EX_cpd01217_e': 0.9016601963606574, 'EX_cpd00027_e': 0.9016601964504065, 'EX_cpd01171_e': 0.9016601964504065, 'EX_cpd00154_e': 0.9016601964504065, 'EX_cpd08306_e': 0.9016601964504065, 'EX_cpd00164_e': 0.9016601964504065, 'EX_cpd00309_e': 0.9016601964504065, 'EX_cpd00280_e': 0.9016601964504065, 'EX_cpd00108_e': 0.9016601964504065, 'EX_cpd00159_e': 0.901660196426049, 'EX_cpd00540_e': 0.9016601964504065, 'EX_cpd11597_e': 0.9016601964504065, 'EX_cpd08305_e': 0.9016601964504065, 'EX_cpd00396_e': 0.9016601964504065, 'EX_cpd00039_e': 0.9016601964504065, 'EX_cpd00011_e': 0.9016601964504065, 'EX_cpd00322_e': 0.9016601964504065, 'EX_cpd00111_e': 0.9016601964504065, 'EX_cpd00028_e': 0.9016601964504065, 'EX_cpd00066_e': 0.9016601964504065, 'EX_cpd01188_e': 0.9016601964504065, 'EX_cpd00357_e': 2.696621794871826, 'EX_cpd00136_e': 0.9016601964504065, 'EX_cpd03847_e': 0.9016601964504065, 'EX_cpd01080_e': 0.9016601964504065, 'EX_cpd03422_e': 0.9016601964504065, 'EX_cpd00010_e': 0.9016601964504065, 'EX_cpd00264_e': 0.9016601964504065, 'EX_cpd11606_e': 0.9016601964504065, 'EX_cpd00069_e': 0.9016601964504065, 'EX_cpd00060_e': 0.9016601964504065, 'EX_cpd00305_e': 0.9016601964504065}"
B. vulgatus_gapfilled_37,"{'EX_cpd00635_e': 0.432745857398758, 'EX_cpd00023_e': 0.4327458575382094, 'EX_cpd00224_e': 0.4327458569801257, 'EX_cpd11595_e': 0.432745857398758, 'EX_cpd01217_e': 0.43274585761772505, 'EX_cpd00027_e': 0.4327458573071771, 'EX_cpd01171_e': 0.43274585739863686, 'EX_cpd00154_e': 0.43274585755321004, 'EX_cpd08306_e': 0.43274585739863686, 'EX_cpd00164_e': 0.43274585739863686, 'EX_cpd00309_e': 0.43274585736015275, 'EX_cpd00280_e': 0.43274585737016763, 'EX_cpd00108_e': 0.43274585737016763, 'EX_cpd00159_e': 0.43274585820191225, 'EX_cpd00540_e': 0.43274585737016763, 'EX_cpd11597_e': 0.43274585737016763, 'EX_cpd08305_e': 0.43274585737016763, 'EX_cpd00396_e': 0.43274585737016763, 'EX_cpd00039_e': 0.43274585737016763, 'EX_cpd00011_e': 0.43274585737016763, 'EX_cpd00322_e': 0.4327458573509813, 'EX_cpd00111_e': 0.43274585701445056, 'EX_cpd00028_e': 0.43274585737016763, 'EX_cpd00066_e': 0.43274585734985516, 'EX_cpd01188_e': 0.43274585737016763, 'EX_cpd00357_e': 0.4327458582021062, 'EX_cpd00136_e': 0.43274585737016763, 'EX_cpd03847_e': 1.0248960098317892, 'EX_cpd01080_e': 0.43274585734985516, 'EX_cpd03422_e': 0.43274585737016763, 'EX_cpd00010_e': 0.43274585737016763, 'EX_cpd00264_e': 0.43274585734985516, 'EX_cpd11606_e': 0.43274585734985516, 'EX_cpd00069_e': 0.43274585737016763, 'EX_cpd00060_e': 0.43274585737016763, 'EX_cpd00305_e': 0.43274585734985516}"
B. vulgatus_gapfilled_38,"{'EX_cpd00635_e': 0.11241077638666787, 'EX_cpd00023_e': 0.11241077638267152, 'EX_cpd00224_e': 0.11241077638267152, 'EX_cpd11595_e': 0.11241077638666787, 'EX_cpd01217_e': 0.11241077640721121, 'EX_cpd00027_e': 0.11241077638764198, 'EX_cpd01171_e': 0.11241077638666787, 'EX_cpd00154_e': 0.1124107763859368, 'EX_cpd08306_e': 0.11241077638666787, 'EX_cpd00164_e': 0.11241077638666787, 'EX_cpd00309_e': 0.11241077638666787, 'EX_cpd00280_e': 0.11241077638666787, 'EX_cpd00108_e': 0.11241077638666787, 'EX_cpd00159_e': 0.11241077638340205, 'EX_cpd00540_e': 0.11241077638666787, 'EX_cpd11597_e': 0.11241077638666787, 'EX_cpd08305_e': 0.11241077638666787, 'EX_cpd00396_e': 0.11241077638666787, 'EX_cpd00039_e': 0.11241077638666787, 'EX_cpd00011_e': 0.11241077638666787, 'EX_cpd00322_e': 0.11241077638340187, 'EX_cpd00111_e': 0.11241077638340187, 'EX_cpd00028_e': 0.11241077638666787, 'EX_cpd00066_e': 0.11241077638340187, 'EX_cpd01188_e': 0.11241077638666787, 'EX_cpd00357_e': 0.11241077638340205, 'EX_cpd00136_e': 0.11241077638666787, 'EX_cpd03847_e': 0.9016601964504947, 'EX_cpd01080_e': 0.11241077638340187, 'EX_cpd03422_e': 0.11241077638666787, 'EX_cpd00010_e': 0.11241077638666787, 'EX_cpd00264_e': 0.11241077638340187, 'EX_cpd11606_e': 0.11241077638340187, 'EX_cpd00069_e': 0.11241077638666787, 'EX_cpd00060_e': 0.11241077638666787, 'EX_cpd00305_e': 0.11241077638340187}"
B. vulgatus_gapfilled_39,"{'EX_cpd00635_e': 0.4313454427549415, 'EX_cpd00023_e': 0.431345442740523, 'EX_cpd00224_e': 0.431345442740523, 'EX_cpd11595_e': 0.4313454427549415, 'EX_cpd01217_e': 0.431345442740523, 'EX_cpd00027_e': 0.4313454427549415, 'EX_cpd01171_e': 0.4313454427549415, 'EX_cpd00154_e': 0.4313454427549415, 'EX_cpd08306_e': 0.4313454427549415, 'EX_cpd00164_e': 0.4313454427549415, 'EX_cpd00309_e': 0.4313454427549415, 'EX_cpd00280_e': 0.4313454427549415, 'EX_cpd00108_e': 0.4313454427561556, 'EX_cpd00159_e': 0.43134544274047343, 'EX_cpd00540_e': 0.4313454427549415, 'EX_cpd11597_e': 0.4313454427549415, 'EX_cpd08305_e': 0.4313454427549415, 'EX_cpd00396_e': 0.4313454427549415, 'EX_cpd00039_e': 0.4313454427549415, 'EX_cpd00011_e': 0.4313454427549415, 'EX_cpd00322_e': 1.010422456293061, 'EX_cpd00111_e': 0.4313454427549415, 'EX_cpd00028_e': 0.4313454427549415, 'EX_cpd00066_e': 0.4313454427549415, 'EX_cpd01188_e': 0.4313454427549415, 'EX_cpd00357_e': 0.43134544274241204, 'EX_cpd00136_e': 0.4313454427549415, 'EX_cpd03847_e': 0.4313454427549415, 'EX_cpd01080_e': 0.431345442757301, 'EX_cpd03422_e': 0.4313454427549415, 'EX_cpd00010_e': 0.4313454427549415, 'EX_cpd00264_e': 0.43134544275768305, 'EX_cpd11606_e': 0.43134544275784326, 'EX_cpd00069_e': 0.4313454427549415, 'EX_cpd00060_e': 0.43134544275372744, 'EX_cpd00305_e': 0.43134544275768305}"
B. vulgatus_gapfilled_4,"{'EX_cpd00635_e': 0.9016601964504934, 'EX_cpd00023_e': 0.9016601964505657, 'EX_cpd00224_e': 0.9016601964505657, 'EX_cpd11595_e': 0.9016601964504934, 'EX_cpd01217_e': 0.9016601964505657, 'EX_cpd00027_e': 0.9016601964502997, 'EX_cpd01171_e': 0.901660196450398, 'EX_cpd00154_e': 0.9016601964507062, 'EX_cpd08306_e': 0.9016601964498756, 'EX_cpd00164_e': 0.9016601964498756, 'EX_cpd00309_e': 0.9016601964500065, 'EX_cpd00280_e': 0.9016601964498756, 'EX_cpd00108_e': 0.9016601964498756, 'EX_cpd00159_e': 0.9016601964505657, 'EX_cpd00540_e': 0.9016601964498756, 'EX_cpd11597_e': 0.9016601964498756, 'EX_cpd08305_e': 0.9016601964498756, 'EX_cpd00396_e': 0.9016601964498756, 'EX_cpd00039_e': 0.9016601964498756, 'EX_cpd00011_e': 0.9016601964498756, 'EX_cpd00322_e': 0.9016601964505485, 'EX_cpd00111_e': 0.901660196450494, 'EX_cpd00028_e': 0.901660196450494, 'EX_cpd00066_e': 0.901660196450494, 'EX_cpd01188_e': 0.901660196450494, 'EX_cpd00357_e': 1.024896009861538, 'EX_cpd00136_e': 0.901660196450494, 'EX_cpd03847_e': 0.901660196450494, 'EX_cpd01080_e': 0.901660196450494, 'EX_cpd03422_e': 0.901660196450494, 'EX_cpd00010_e': 0.901660196450494, 'EX_cpd00264_e': 0.901660196450494, 'EX_cpd11606_e': 0.901660196450494, 'EX_cpd00069_e': 0.901660196450494, 'EX_cpd00060_e': 0.901660196450494, 'EX_cpd00305_e': 0.901660196450494}"
B. vulgatus_gapfilled_40,"{'EX_cpd00635_e': 0.28101608066688805, 'EX_cpd00023_e': 0.28101608066650247, 'EX_cpd00224_e': 0.28101608065433914, 'EX_cpd11595_e': 0.28101608066688805, 'EX_cpd01217_e': 0.2810160806540297, 'EX_cpd00027_e': 0.28101608066703104, 'EX_cpd01171_e': 0.2810160806496549, 'EX_cpd00154_e': 0.2810160806499409, 'EX_cpd08306_e': 0.28101608064969064, 'EX_cpd00164_e': 0.28101608064969064, 'EX_cpd00309_e': 0.281016080650513, 'EX_cpd00280_e': 0.28101608064969064, 'EX_cpd00108_e': 0.28101608064969064, 'EX_cpd00159_e': 0.2810160806609646, 'EX_cpd00540_e': 0.28101608064969064, 'EX_cpd11597_e': 0.28101608064969064, 'EX_cpd08305_e': 0.28101608064969064, 'EX_cpd00396_e': 0.28101608064969064, 'EX_cpd00039_e': 0.28101608064969064, 'EX_cpd00011_e': 0.2810160806671741, 'EX_cpd00322_e': 1.1883133482456085, 'EX_cpd00111_e': 0.28101608066703104, 'EX_cpd00028_e': 0.28101608066703104, 'EX_cpd00066_e': 0.28101608066703104, 'EX_cpd01188_e': 0.28101608066674505, 'EX_cpd00357_e': 0.28101608066196904, 'EX_cpd00136_e': 0.28101608066703104, 'EX_cpd03847_e': 0.28101608066703104, 'EX_cpd01080_e': 0.28101608066703104, 'EX_cpd03422_e': 0.28101608066703104, 'EX_cpd00010_e': 0.28101608066703104, 'EX_cpd00264_e': 0.28101608066695194, 'EX_cpd11606_e': 0.28101608066695194, 'EX_cpd00069_e': 0.28101608066703104, 'EX_cpd00060_e': 0.28101608066703104, 'EX_cpd00305_e': 0.28101608066695194}"
B. vulgatus_gapfilled_41,"{'EX_cpd00635_e': 0.9016601964504943, 'EX_cpd00023_e': 0.9016601963549641, 'EX_cpd00224_e': 0.9016601964504791, 'EX_cpd11595_e': 0.9016601964504943, 'EX_cpd01217_e': 0.9016601964951446, 'EX_cpd00027_e': 0.9016601964504943, 'EX_cpd01171_e': 0.9016601964504943, 'EX_cpd00154_e': 0.9016601964504943, 'EX_cpd08306_e': 0.9016601964504943, 'EX_cpd00164_e': 0.9016601964504943, 'EX_cpd00309_e': 0.9016601964504941, 'EX_cpd00280_e': 0.9016601964504943, 'EX_cpd00108_e': 0.9016601964504943, 'EX_cpd00159_e': 0.9016601964582904, 'EX_cpd00540_e': 0.9016601964504943, 'EX_cpd11597_e': 0.9016601964504943, 'EX_cpd08305_e': 0.9016601964504943, 'EX_cpd00396_e': 0.9016601964504943, 'EX_cpd00039_e': 0.9016601964504943, 'EX_cpd00011_e': 0.9016601964504943, 'EX_cpd00322_e': 0.9016601964502658, 'EX_cpd00111_e': 0.9016601964502658, 'EX_cpd00028_e': 0.9016601964504943, 'EX_cpd00066_e': 0.9016601964504943, 'EX_cpd01188_e': 0.9016601964504943, 'EX_cpd00357_e': 1.1883133482472812, 'EX_cpd00136_e': 0.9016601964504943, 'EX_cpd03847_e': 0.9016601964504943, 'EX_cpd01080_e': 0.9016601964502658, 'EX_cpd03422_e': 0.9016601964504943, 'EX_cpd00010_e': 0.9016601964504943, 'EX_cpd00264_e': 0.9016601964502658, 'EX_cpd11606_e': 0.9016601964502658, 'EX_cpd00069_e': 0.9016601964504943, 'EX_cpd00060_e': 0.9016601964504943, 'EX_cpd00305_e': 0.9016601964502658}"
B. vulgatus_gapfilled_42,"{'EX_cpd00635_e': 0.9016601964504944, 'EX_cpd00023_e': 0.9016601966336454, 'EX_cpd00224_e': 0.9016601964504943, 'EX_cpd11595_e': 0.9016601964504944, 'EX_cpd01217_e': 0.901660196450629, 'EX_cpd00027_e': 0.9016601964504944, 'EX_cpd01171_e': 0.9016601964504944, 'EX_cpd00154_e': 0.9016601964504944, 'EX_cpd08306_e': 0.9016601964504944, 'EX_cpd00164_e': 0.9016601964504944, 'EX_cpd00309_e': 0.9016601964504944, 'EX_cpd00280_e': 0.9016601964504944, 'EX_cpd00108_e': 0.9016601964504944, 'EX_cpd00159_e': 0.9016601964561417, 'EX_cpd00540_e': 0.9016601964504944, 'EX_cpd11597_e': 0.9016601964504944, 'EX_cpd08305_e': 0.9016601964504944, 'EX_cpd00396_e': 0.9016601964504944, 'EX_cpd00039_e': 0.9016601964504944, 'EX_cpd00011_e': 0.9016601964504944, 'EX_cpd00322_e': 0.9016601964504944, 'EX_cpd00111_e': 0.9016601964504944, 'EX_cpd00028_e': 0.9016601964504944, 'EX_cpd00066_e': 0.9016601964504944, 'EX_cpd01188_e': 0.9016601964504944, 'EX_cpd00357_e': 1.1883133482448258, 'EX_cpd00136_e': 0.9016601964504944, 'EX_cpd03847_e': 0.9016601964504944, 'EX_cpd01080_e': 0.9016601964504944, 'EX_cpd03422_e': 0.9016601964504944, 'EX_cpd00010_e': 0.9016601964504944, 'EX_cpd00264_e': 0.9016601964504944, 'EX_cpd11606_e': 0.9016601964504944, 'EX_cpd00069_e': 0.9016601964504944, 'EX_cpd00060_e': 0.9016601964504944, 'EX_cpd00305_e': 0.9016601964504944}"
B. vulgatus_gapfilled_43,"{'EX_cpd00635_e': 0.19604543010750988, 'EX_cpd00023_e': 0.19604543010766856, 'EX_cpd00224_e': 0.19604543010752765, 'EX_cpd11595_e': 0.19604543010750988, 'EX_cpd01217_e': 0.19604543010752765, 'EX_cpd00027_e': 0.19604543010754935, 'EX_cpd01171_e': 0.19604543010750988, 'EX_cpd00154_e': 0.19604543010756534, 'EX_cpd08306_e': 0.19604543010750988, 'EX_cpd00164_e': 0.19604543010750988, 'EX_cpd00309_e': 0.19604543010750988, 'EX_cpd00280_e': 0.19604543010750988, 'EX_cpd00108_e': 0.19604543010750988, 'EX_cpd00159_e': 0.19604543010752765, 'EX_cpd00540_e': 0.19604543010750988, 'EX_cpd11597_e': 0.19604543010750988, 'EX_cpd08305_e': 0.19604543010750988, 'EX_cpd00396_e': 0.19604543010753708, 'EX_cpd00039_e': 0.19604543010750988, 'EX_cpd00011_e': 0.19604543010750988, 'EX_cpd00322_e': 0.19604543010754513, 'EX_cpd00111_e': 0.19604543010750988, 'EX_cpd00028_e': 0.19604543010750988, 'EX_cpd00066_e': 0.19604543010750988, 'EX_cpd01188_e': 0.19604543010750988, 'EX_cpd00357_e': 0.19604543010752765, 'EX_cpd00136_e': 0.19604543010750988, 'EX_cpd03847_e': 0.19604543010750988, 'EX_cpd01080_e': 0.7902507077211639, 'EX_cpd03422_e': 0.19604543010750988, 'EX_cpd00010_e': 0.19604543010750988, 'EX_cpd00264_e': 0.19604543010754513, 'EX_cpd11606_e': 0.19604543010754513, 'EX_cpd00069_e': 0.19604543010750988, 'EX_cpd00060_e': 0.19604543010750988, 'EX_cpd00305_e': 0.19604543010754513}"
B. vulgatus_gapfilled_44,"{'EX_cpd00635_e': 0.9016601964504947, 'EX_cpd00023_e': 0.9016601964503724, 'EX_cpd00224_e': 0.901660196450554, 'EX_cpd11595_e': 0.9016601964504947, 'EX_cpd01217_e': 0.9016601964504944, 'EX_cpd00027_e': 0.9016601964504947, 'EX_cpd01171_e': 0.9016601964504947, 'EX_cpd00154_e': 0.9016601964504947, 'EX_cpd08306_e': 0.9016601964504947, 'EX_cpd00164_e': 0.9016601964504947, 'EX_cpd00309_e': 0.9016601964504947, 'EX_cpd00280_e': 0.9016601964504947, 'EX_cpd00108_e': 0.9016601964504947, 'EX_cpd00159_e': 0.9016601964504944, 'EX_cpd00540_e': 0.9016601964504947, 'EX_cpd11597_e': 0.9016601964504947, 'EX_cpd08305_e': 0.9016601964504947, 'EX_cpd00396_e': 0.9016601964504947, 'EX_cpd00039_e': 0.9016601964504947, 'EX_cpd00011_e': 0.9016601964504947, 'EX_cpd00322_e': 0.9016601964504947, 'EX_cpd00111_e': 0.9016601964504947, 'EX_cpd00028_e': 0.9016601964504947, 'EX_cpd00066_e': 0.9016601964504947, 'EX_cpd01188_e': 0.9016601964504947, 'EX_cpd00357_e': 1.0893726765489162, 'EX_cpd00136_e': 0.9016601964504947, 'EX_cpd03847_e': 0.9016601964504947, 'EX_cpd01080_e': 0.9016601964504947, 'EX_cpd03422_e': 0.9016601964504947, 'EX_cpd00010_e': 0.9016601964504947, 'EX_cpd00264_e': 0.9016601964504947, 'EX_cpd11606_e': 0.9016601964504947, 'EX_cpd00069_e': 0.9016601964504947, 'EX_cpd00060_e': 0.9016601964504947, 'EX_cpd00305_e': 0.9016601964504947}"
B. vulgatus_gapfilled_45,"{'EX_cpd00635_e': 0.5518410994513429, 'EX_cpd00023_e': 0.5518410994689024, 'EX_cpd00224_e': 0.5518410994228006, 'EX_cpd11595_e': 0.5518410994513429, 'EX_cpd01217_e': 0.5518410995282709, 'EX_cpd00027_e': 0.5518410994516811, 'EX_cpd01171_e': 0.5518410994513958, 'EX_cpd00154_e': 0.5518410994513958, 'EX_cpd08306_e': 0.5518410994513958, 'EX_cpd00164_e': 0.5518410994513958, 'EX_cpd00309_e': 0.5518410994513958, 'EX_cpd00280_e': 0.5518410994533618, 'EX_cpd00108_e': 0.5518410994513958, 'EX_cpd00159_e': 0.5518410994719558, 'EX_cpd00540_e': 0.5518410994513958, 'EX_cpd11597_e': 0.5518410994513958, 'EX_cpd08305_e': 0.5518410994513958, 'EX_cpd00396_e': 0.5518410994513958, 'EX_cpd00039_e': 0.5518410994513958, 'EX_cpd00011_e': 0.5518410994513958, 'EX_cpd00322_e': 0.9016601964515705, 'EX_cpd00111_e': 0.5518410994499746, 'EX_cpd00028_e': 0.5518410994513958, 'EX_cpd00066_e': 0.5518410994513958, 'EX_cpd01188_e': 0.5518410994513958, 'EX_cpd00357_e': 0.5518410994692247, 'EX_cpd00136_e': 0.5518410994513958, 'EX_cpd03847_e': 0.5518410994513958, 'EX_cpd01080_e': 0.5518410994513958, 'EX_cpd03422_e': 0.5518410994513958, 'EX_cpd00010_e': 0.5518410994513958, 'EX_cpd00264_e': 0.5518410994520887, 'EX_cpd11606_e': 0.5518410994520887, 'EX_cpd00069_e': 0.5518410994513958, 'EX_cpd00060_e': 0.5518410994518917, 'EX_cpd00305_e': 0.5518410994520887}"
B. vulgatus_gapfilled_46,"{'EX_cpd00635_e': 0.12326434884435487, 'EX_cpd00023_e': 0.12326434884418914, 'EX_cpd00224_e': 0.12326434884585541, 'EX_cpd11595_e': 0.12326434884435487, 'EX_cpd01217_e': 0.1232643488455872, 'EX_cpd00027_e': 0.12326434884173958, 'EX_cpd01171_e': 0.1232643488405623, 'EX_cpd00154_e': 0.12326434884140622, 'EX_cpd08306_e': 0.12326434884129478, 'EX_cpd00164_e': 0.12326434884129478, 'EX_cpd00309_e': 0.12326434884129478, 'EX_cpd00280_e': 0.12326434884129478, 'EX_cpd00108_e': 0.12326434884129478, 'EX_cpd00159_e': 0.12326434884498998, 'EX_cpd00540_e': 0.12326434884129478, 'EX_cpd11597_e': 0.12326434884129478, 'EX_cpd08305_e': 0.12326434884129478, 'EX_cpd00396_e': 0.12326434883906599, 'EX_cpd00039_e': 0.23704528761593782, 'EX_cpd00011_e': 0.12326434884537754, 'EX_cpd00322_e': 0.12326434884542233, 'EX_cpd00111_e': 0.12326434884542233, 'EX_cpd00028_e': 0.12326434884537754, 'EX_cpd00066_e': 0.12326434884542233, 'EX_cpd01188_e': 0.12326434883769678, 'EX_cpd00357_e': 0.1232643488419825, 'EX_cpd00136_e': 0.12326434879075235, 'EX_cpd03847_e': 0.12344407508203596, 'EX_cpd01080_e': 0.12326434884542233, 'EX_cpd03422_e': 0.12326434879075235, 'EX_cpd00010_e': 0.12326434879075235, 'EX_cpd00264_e': 0.12326434884542233, 'EX_cpd11606_e': 0.12326434884542233, 'EX_cpd00069_e': 0.12326434879819652, 'EX_cpd00060_e': 0.1232643488289854, 'EX_cpd00305_e': 0.12326434884542233}"
